"","geoid","longitude","latitude","elevation","month","precip","tmin","tmean","tmax","tdew","rh"
"1","14000US18097360800",-86.0549,39.789,257,"2018-01",54.19,-10.2,-5.2,-0.2,-8.3,78.7402809374414
"2","14000US18097360800",-86.0549,39.789,257,"2018-02",133.4,-3.1,1.9,7,-2.3,73.6244673947192
"3","14000US18097360800",-86.0549,39.789,257,"2018-03",116.15,-1.8,3.1,8.1,-3.2,63.2071049855982
"4","14000US18097360800",-86.0549,39.789,257,"2018-04",120.92,2,7.6,13.1,0.1,58.9401401917598
"5","14000US18097360800",-86.0549,39.789,257,"2018-05",60.47,15.6,21.6,27.6,13.5,59.9768863711884
"6","14000US18097360800",-86.0549,39.789,257,"2018-06",172.3,18.4,23.5,28.5,17.5,69.0724205257655
"7","14000US18097360800",-86.0549,39.789,257,"2018-07",52.57,18.6,23.8,29.1,17.7,68.6976882274787
"8","14000US18097360800",-86.0549,39.789,257,"2018-08",157.14,18.8,23.4,28.1,18.6,74.464151700837
"9","14000US18097360800",-86.0549,39.789,257,"2018-09",180.95,16.5,21.2,25.9,16.3,73.6158479661459
"10","14000US18097360800",-86.0549,39.789,257,"2018-10",62.14,7.4,12.7,18.1,7.6,71.0801049601335
"11","14000US18097360800",-86.0549,39.789,257,"2018-11",114.29,-1.1,2.7,6.5,-0.7,78.2412266994188
"12","14000US18097360800",-86.0549,39.789,257,"2018-12",73.83,-2.4,1.6,5.6,-1.7,78.6416524412651
"13","14000US18097354800",-86.1172,39.7779,227,"2018-01",54.21,-10.2,-5.1,0,-8.5,76.9309436821424
"14","14000US18097354800",-86.1172,39.7779,227,"2018-02",126.9,-2.1,2.6,7.4,-2.4,69.5164809510028
"15","14000US18097354800",-86.1172,39.7779,227,"2018-03",108.99,-1,3.6,8.2,-3.3,60.5551477495615
"16","14000US18097354800",-86.1172,39.7779,227,"2018-04",114.86,2.7,8,13.2,0.1,57.3536120110072
"17","14000US18097354800",-86.1172,39.7779,227,"2018-05",48.09,16.6,22.2,27.7,13.6,58.1993282031701
"18","14000US18097354800",-86.1172,39.7779,227,"2018-06",145.16,19.5,24.2,28.9,17.5,66.227327841396
"19","14000US18097354800",-86.1172,39.7779,227,"2018-07",56.96,19.8,24.8,29.8,17.7,64.7046408604189
"20","14000US18097354800",-86.1172,39.7779,227,"2018-08",142.87,19.8,24.1,28.4,18.6,71.3946724227674
"21","14000US18097354800",-86.1172,39.7779,227,"2018-09",164.52,17.5,21.9,26.4,16.3,70.5306366520121
"22","14000US18097354800",-86.1172,39.7779,227,"2018-10",59.03,8.4,13.4,18.4,7.6,67.9001162074139
"23","14000US18097354800",-86.1172,39.7779,227,"2018-11",106.51,-0.6,3,6.6,-0.8,76.0321133949619
"24","14000US18097354800",-86.1172,39.7779,227,"2018-12",72.12,-1.6,2.3,6.2,-1.7,74.7976340288988
"25","14000US18097310110",-86.283,39.8453,245,"2018-01",55.32,-9.9,-5,-0.2,-9.1,72.8365609215955
