"","geoid","january","february","march","april","may","june","july","august","september","october","november","december"
"1","14000US18097310103",13604394,11386910,10973405,12130566,13450692,24068798,28263126,29875697,24562562,20670376,13887414,12807179
"2","14000US18097310104",29016923,21292000,21656270,24490385,24004537,29953865,36778628,38761683,41218390,32062931,23877870,21513006
"3","14000US18097310105",18991616,17330491,17384366,18651577,17706020,19263919,24605947,23761613,22213785,22163601,22519335,20777693
"4","14000US18097310106",10601372,9899115,9447477,10910667,10143117,13181845,13215748,13054773,11599089,10094399,13218245,10447166
"5","14000US18097310108",7707638,6136667,6047274,6276555,6647109,10344102,13625847,11845584,10786133,10074688,7392307,6206430
"6","14000US18097310110",6580238,5481971,5239446,5363340,4916321,6668459,8583778,8784272,7701983,7405754,6544993,5512030
"7","14000US18097310111",9435843,8825556,9269514,9065917,9109708,11292352,11410415,11155904,12134096,11010673,8740695,9294893
"8","14000US18097310201",26336589,25346312,25265688,26858153,27637032,32005785,37260703,37292250,39976538,33834602,28899780,27240575
"9","14000US18097310203",15000350,12822169,12405037,13571831,13011636,14647216,17220530,15877949,15683449,14218602,14848676,13076924
"10","14000US18097310204",24976128,24625545,23857450,22798482,26398232,27679561,29740776,24640429,26330698,22333280,26927510,27526497
"11","14000US18097310305",14937212,13337538,13156355,15114627,8627282,13077427,14578729,13658415,14389316,12982579,15704052,15085530
"12","14000US18097310306",21698639,19689998,19115565,21057061,20045641,21486281,22076522,22645857,21154361,20031506,21040553,19978604
"13","14000US18097310308",14342318,14341227,13554879,12986139,12776306,14119640,13027993,13138615,13136725,12405935,12335092,13211192
"14","14000US18097310309",9940450,8627483,8581649,8773032,9689222,9705686,9682596,9257104,9178769,8410464,9064719,8829707
"15","14000US18097310310",8451396,7315650,7239215,7797603,8072588,7649183,8870538,7992888,7872541,7423700,7622966,7681088
"16","14000US18097310311",12650691,11671793,11479332,11150153,11144249,13414102,12646471,12497243,13042158,11117443,10916581,12218637
"17","14000US18097310312",17815466,16716519,16855036,15498380,14513045,17049734,15942730,14931555,16274353,15228264,14874135,17539128
"18","14000US18097320105",10208909,12420404,9449016,10408719,9192927,11426857,12589620,11745445,11172645,10411160,10031405,10112070
"19","14000US18097320106",5637897,4357570,4261620,4636430,4241016,7097806,8450551,7756628,6710953,6595541,6281480,2280467
"20","14000US18097320107",4666970,4037317,3958657,4531186,4722110,6498423,8151226,7761176,7116020,6615243,5347050,4628243
"21","14000US18097320108",24186770,22351118,21203178,23553119,21981251,26277039,29839736,31267589,29770937,28542022,23738250,22780554
"22","14000US18097320109",7584684,5843947,5205390,6956438,6468895,10635449,11393485,11591843,9214626,8518532,6426579,6723028
"23","14000US18097320202",12807137,12420147,10966858,12151599,14250589,19262510,23718464,21811870,19829810,16656668,12838679,11868577
"24","14000US18097320203",7271887,5902259,5742018,5953656,5722420,6234582,6728433,5981537,6531801,6743972,5862937,6547574
"25","14000US18097320204",18406201,16820240,20678435,21880619,23899802,29320515,32690710,30232953,28633959,28690453,21439481,17719906
"26","14000US18097320301",7457186,6854509,6217838,6855795,7266478,10193621,10081727,9854323,8608786,7964879,7058496,6825524
"27","14000US18097320303",7116156,5988405,5702639,6420847,6212875,7575392,9089537,8384942,7987789,7159127,6185439,6354588
"28","14000US18097320304",18549024,16952797,15175037,16061918,18270053,25074655,28783792,26095289,23691296,22610698,16465778,16550309
